sn2_64907_176bp,10,23.198,23.198
sn2_88417_340bp,10,23.198,23.198
sn2_119568_173bp,10,23.198,23.198
sn2_22975_238bp,10,23.198,23.198
sn2_91808_307bp,10,23.198,23.198
sn2_122897_161bp,10,23.443,23.443
sn2_117232_264bp,10,24.182,24.182
sn2_51973_269bp,10,23.936,23.936
sn2_67055_241bp,10,24.182,24.182
sn2_21294_222bp,10,24.427,24.427
sn2_22976_296bp,10,24.427,24.427
sn2_82383_155bp,10,24.673,24.673
sn2_24796_294bp,10,24.673,24.673
sn2_83327_179bp,10,24.673,24.673
sn2_112849_224bp,10,25.166,25.166
sn2_53608_185bp,10,25.166,25.166
sn2_45907_296bp,10,25.411,25.411
sn2_94901_290bp,10,25.411,25.411
sn2_62986_192bp,10,25.903,25.903
sn2_26589_263bp,10,25.411,25.411
sn2_110384_142bp,10,25.411,25.411
sn2_18726_211bp,10,25.411,25.411
sn2_26711_274bp,10,25.411,25.411
sn2_50197_295bp,10,25.411,25.411
sn2_17268_307bp,10,25.657,25.657
sn2_96104_143bp,10,25.903,25.903
sn2_88747_179bp,10,25.903,25.903
sn2_42879_162bp,10,25.903,25.903
sn2_51422_176bp,10,25.903,25.903
sn2_22796_268bp,10,25.903,25.903
sn2_31140_198bp,10,26.148,26.148
sn2_110930_262bp,10,26.394,26.394
sn2_65036_208bp,10,26.394,26.394
sn2_132676_298bp,10,26.885,26.885
sn2_68036_180bp,10,26.885,26.885
sn2_10497_173bp,10,27.131,27.131
sn2_14099_142bp,10,27.131,27.131
sn2_20272_283bp,10,27.131,27.131
sn2_93797_295bp,10,27.377,27.377
sn2_30696_294bp,10,27.377,27.377
sn2_21982_384bp,10,27.869,27.869
sn2_103947_214bp,10,27.869,27.869
sn2_27377_174bp,10,28.610,28.610
sn2_124967_254bp,10,28.610,28.610
sn2_45349_299bp,10,29.597,29.597
sn2_109489_259bp,10,29.597,29.597
sn2_74838_178bp,10,30.089,30.089
sn2_56839_234bp,10,30.089,30.089
sn2_42459_295bp,10,32.335,32.335
sn2_111276_284bp,10,32.581,32.581
sn2_82717_239bp,10,33.074,33.074
sn2_108795_297bp,10,33.319,33.319
sn2_19543_142bp,10,33.565,33.565
sn2_27801_278bp,10,33.565,33.565
sn2_115341_266bp,10,33.565,33.565
sn2_52648_301bp,10,33.565,33.565
sn2_92571_254bp,10,33.565,33.565
sn2_93262_227bp,10,33.565,33.565
sn2_110606_216bp,10,33.565,33.565
sn2_45708_221bp,10,33.565,33.565
sn2_103667_204bp,10,33.811,33.811
sn2_28652_142bp,10,34.303,34.303
sn2_13183_169bp,10,35.796,35.796
sn2_132041_142bp,10,35.796,35.796
sn2_117534_168bp,10,35.796,35.796
sn2_28572_192bp,10,36.042,36.042
sn2_104608_237bp,10,36.534,36.534
sn2_153560_294bp,10,36.780,36.780
sn2_31496_213bp,10,36.780,36.780
sn2_117853_143bp,10,36.780,36.780
sn2_10983_185bp,10,37.026,37.026
sn2_8358_264bp,10,37.518,37.518
sn2_22623_213bp,10,37.518,37.518
sn2_80248_211bp,10,37.764,37.764
sn2_66285_239bp,10,37.764,37.764
sn2_55223_218bp,10,38.010,38.010
sn2_63082_247bp,10,38.010,38.010
sn2_109494_196bp,10,38.010,38.010
sn2_42777_305bp,10,38.010,38.010
sn2_22769_143bp,10,38.748,38.748
sn2_70786_302bp,10,39.241,39.241
sn2_71290_142bp,10,39.241,39.241
sn2_100104_142bp,10,39.241,39.241
sn2_48686_155bp,10,39.241,39.241
sn2_51984_143bp,10,39.241,39.241
sn2_18500_310bp,10,39.241,39.241
sn2_87018_250bp,10,39.241,39.241
sn2_117975_264bp,10,39.241,39.241
sn2_121469_365bp,10,39.241,39.241
sn2_88984_296bp,10,39.241,39.241
sn2_66847_313bp,10,39.486,39.486
sn2_114691_282bp,10,39.486,39.486
sn2_112156_203bp,10,39.486,39.486
sn2_8632_302bp,10,40.727,40.727
sn2_64068_294bp,10,40.727,40.727
sn2_93874_317bp,10,41.957,41.957
sn2_118148_142bp,10,40.727,40.727
sn2_113462_302bp,10,40.727,40.727
sn2_8094_143bp,10,40.727,40.727
sn2_20241_163bp,10,40.727,40.727
sn2_44144_142bp,10,40.973,40.973
sn2_92721_142bp,10,40.973,40.973
sn2_119580_250bp,10,41.711,41.711
sn2_83831_224bp,10,42.449,42.449
sn2_67710_205bp,10,42.695,42.695
sn2_130906_330bp,10,42.449,42.449
sn2_49140_298bp,10,42.449,42.449
sn2_86949_257bp,10,42.449,42.449
sn2_21095_296bp,10,42.449,42.449
sn2_24005_178bp,10,42.449,42.449
sn2_49667_297bp,10,42.449,42.449
sn2_103414_322bp,10,42.695,42.695
sn2_80837_143bp,10,42.695,42.695
sn2_13387_226bp,10,42.695,42.695
sn2_71730_143bp,10,42.695,42.695
sn2_101713_199bp,10,42.695,42.695
sn2_96838_262bp,10,42.695,42.695
sn2_29339_142bp,10,42.695,42.695
sn2_103241_256bp,10,42.941,42.941
sn2_119535_338bp,10,42.695,42.695
sn2_87538_302bp,10,42.695,42.695
sn2_90011_235bp,10,42.941,42.941
sn2_88089_297bp,10,42.941,42.941
sn2_103472_194bp,10,42.941,42.941
sn2_13384_144bp,10,43.187,43.187
sn2_117419_228bp,10,43.187,43.187
sn2_82632_204bp,10,43.187,43.187
sn2_57232_143bp,10,43.187,43.187
sn2_114328_184bp,10,43.187,43.187
sn2_103216_177bp,10,44.668,44.668
sn2_104949_206bp,10,44.914,44.914
sn2_51520_142bp,10,45.159,45.159
sn2_22719_183bp,10,46.652,46.652
sn2_68307_295bp,10,46.652,46.652
sn2_110180_144bp,10,46.898,46.898
sn2_94175_269bp,10,46.898,46.898
sn2_92820_375bp,10,47.390,47.390
sn2_44490_295bp,10,74.488,74.488
sn2_102102_171bp,10,47.636,47.636
sn2_91905_179bp,10,48.129,48.129
sn2_32306_230bp,10,48.621,48.621
sn2_71735_208bp,10,49.360,49.360
sn2_83855_177bp,10,48.621,48.621
sn2_26172_270bp,10,48.621,48.621
sn2_105197_289bp,10,49.114,49.114
sn2_63898_202bp,10,49.360,49.360
sn2_67458_247bp,10,49.360,49.360
sn2_68042_209bp,10,49.360,49.360
sn2_27589_240bp,10,49.360,49.360
sn2_78509_201bp,10,49.360,49.360
sn2_72249_222bp,10,49.360,49.360
sn2_18698_143bp,10,49.360,49.360
sn2_88537_211bp,10,49.360,49.360
sn2_82864_291bp,10,49.360,49.360
sn2_91198_230bp,10,49.360,49.360
sn2_61005_186bp,10,49.605,49.605
sn2_94644_168bp,10,49.360,49.360
sn2_71302_205bp,10,49.360,49.360
sn2_24341_259bp,10,49.360,49.360
sn2_114338_474bp,10,49.605,49.605
sn2_28771_192bp,10,49.605,49.605
sn2_94841_142bp,10,49.605,49.605
sn2_124073_241bp,10,49.605,49.605
sn2_116755_249bp,10,49.605,49.605
sn2_26655_199bp,10,49.605,49.605
sn2_42619_302bp,10,49.605,49.605
sn2_119093_175bp,10,49.605,49.605
sn2_15437_316bp,10,49.605,49.605
sn2_102945_229bp,10,49.605,49.605
sn2_113912_296bp,10,49.605,49.605
sn2_23682_236bp,10,49.605,49.605
sn2_89752_274bp,10,49.605,49.605
sn2_123871_381bp,10,49.605,49.605
sn2_22257_295bp,10,49.605,49.605
sn2_123674_231bp,10,49.605,49.605
sn2_63961_308bp,10,49.605,49.605
sn2_3798_254bp,10,49.605,49.605
sn2_41557_208bp,10,49.605,49.605
sn2_124738_280bp,10,49.605,49.605
sn2_90032_253bp,10,49.605,49.605
sn2_15193_240bp,10,49.851,49.851
sn2_113069_253bp,10,49.851,49.851
sn2_104022_142bp,10,49.851,49.851
sn2_82771_225bp,10,49.851,49.851
sn2_24929_297bp,10,49.851,49.851
sn2_100850_300bp,10,49.851,49.851
sn2_82557_299bp,10,49.851,49.851
sn2_10682_175bp,10,49.851,49.851
sn2_26784_142bp,10,49.851,49.851
sn2_124314_248bp,10,50.097,50.097
sn2_28875_258bp,10,50.097,50.097
sn2_65403_162bp,10,50.097,50.097
sn2_3305_188bp,10,50.342,50.342
sn2_48718_225bp,10,50.342,50.342
sn2_53390_142bp,10,50.342,50.342
sn2_120740_222bp,10,50.342,50.342
sn2_70828_193bp,10,50.342,50.342
sn2_114945_214bp,10,50.834,50.834
sn2_63812_143bp,10,50.834,50.834
sn2_97170_200bp,10,50.834,50.834
sn2_42910_203bp,10,51.080,51.080
sn2_95516_298bp,10,51.080,51.080
sn2_6226_143bp,10,51.080,51.080
sn2_25011_243bp,10,51.080,51.080
sn2_103796_285bp,10,51.080,51.080
sn2_23937_142bp,10,51.080,51.080
sn2_132110_142bp,10,51.080,51.080
sn2_20281_172bp,10,52.312,52.312
sn2_63810_224bp,10,51.325,51.325
sn2_28231_242bp,10,51.325,51.325
sn2_97409_171bp,10,52.066,52.066
sn2_132093_305bp,10,52.066,52.066
sn2_92981_143bp,10,52.066,52.066
sn2_66558_234bp,10,52.066,52.066
sn2_13896_324bp,10,52.312,52.312
sn2_92647_227bp,10,52.312,52.312
sn2_35485_272bp,10,52.312,52.312
sn2_64943_142bp,10,52.312,52.312
sn2_27781_159bp,10,52.312,52.312
sn2_71973_218bp,10,52.312,52.312
sn2_118234_244bp,10,52.312,52.312
sn2_23734_175bp,10,52.312,52.312
sn2_64207_174bp,10,52.312,52.312
sn2_44518_298bp,10,52.557,52.557
sn2_89332_142bp,10,52.557,52.557
sn2_52828_350bp,10,52.557,52.557
sn2_85425_294bp,10,52.557,52.557
sn2_119765_304bp,10,52.557,52.557
sn2_26396_229bp,10,52.803,52.803
sn2_166204_353bp,10,52.803,52.803
sn2_22254_286bp,10,52.803,52.803
sn2_90082_181bp,10,52.803,52.803
sn2_53895_245bp,10,53.296,53.296
sn2_52615_154bp,10,53.296,53.296
sn2_87486_237bp,10,53.296,53.296
sn2_36334_183bp,10,53.541,53.541
sn2_49428_343bp,10,54.033,54.033
sn2_72088_142bp,10,54.279,54.279
sn2_53294_294bp,10,56.504,56.504
sn2_20375_159bp,10,54.279,54.279
sn2_132453_222bp,10,54.279,54.279
sn2_94321_284bp,10,54.279,54.279
sn2_38203_160bp,10,54.279,54.279
sn2_112926_143bp,10,54.524,54.524
sn2_3936_240bp,10,55.514,55.514
sn2_126012_358bp,10,56.504,56.504
sn2_130938_295bp,10,56.504,56.504
sn2_23183_229bp,10,56.504,56.504
sn2_78690_304bp,10,56.504,56.504
sn2_90498_173bp,10,56.504,56.504
sn2_110208_142bp,10,56.504,56.504
sn2_87405_142bp,10,56.504,56.504
sn2_19218_168bp,10,56.504,56.504
sn2_124873_277bp,10,56.996,56.996
sn2_21421_296bp,10,56.996,56.996
sn2_79881_295bp,10,56.996,56.996
sn2_112666_241bp,10,56.996,56.996
sn2_2124_143bp,10,56.996,56.996
sn2_93430_206bp,10,56.996,56.996
